Sample_Index,sae_input_dot_product,sae_input_suggested_scaling,sae_recons_dot_product,sae_recons_suggested_scaling,sae_diff_dot_product,sae_diff_suggested_scaling
0,-19.331806182861328,19.331806182861328,-11.902124404907227,11.902124404907227,-4.334476470947266,4.334476470947266
1,-15.492354393005371,15.492354393005371,-11.98281192779541,11.98281192779541,-5.984891891479492,5.984891891479492
2,-15.89974308013916,15.89974308013916,-13.277205467224121,13.277205467224121,-5.328417778015137,5.328417778015137
3,-17.82175064086914,17.82175064086914,-12.43877124786377,12.43877124786377,-14.193248748779297,14.193248748779297
4,-16.53069305419922,16.53069305419922,-16.627946853637695,16.627946853637695,-7.450816631317139,7.450816631317139
5,-16.562183380126953,16.562183380126953,-15.51701831817627,15.51701831817627,-7.313063621520996,7.313063621520996
6,-18.694320678710938,18.694320678710938,-17.85927963256836,17.85927963256836,-4.762327194213867,4.762327194213867
7,-13.438789367675781,13.438789367675781,-10.829551696777344,10.829551696777344,-3.8209340572357178,3.8209340572357178
8,-12.216499328613281,12.216499328613281,-15.991454124450684,15.991454124450684,-6.320150852203369,6.320150852203369
9,-17.973806381225586,17.973806381225586,-11.660283088684082,11.660283088684082,-5.692807197570801,5.692807197570801
10,-19.067398071289062,19.067398071289062,-14.074159622192383,14.074159622192383,-6.827448844909668,6.827448844909668
11,-15.547798156738281,15.547798156738281,-11.100011825561523,11.100011825561523,-10.640318870544434,10.640318870544434
12,-13.309821128845215,13.309821128845215,-10.802803039550781,10.802803039550781,-8.561437606811523,8.561437606811523
13,-17.825092315673828,17.825092315673828,-13.023923873901367,13.023923873901367,-10.14517879486084,10.14517879486084
14,-17.204612731933594,17.204612731933594,-12.318202018737793,12.318202018737793,-2.956643581390381,2.956643581390381
15,-15.623028755187988,15.623028755187988,-10.667922019958496,10.667922019958496,-5.7841291427612305,5.7841291427612305
16,-16.35329246520996,16.35329246520996,-15.318951606750488,15.318951606750488,-3.1990604400634766,3.1990604400634766
17,-15.842491149902344,15.842491149902344,-13.299602508544922,13.299602508544922,-7.54609489440918,7.54609489440918
18,-16.03268814086914,16.03268814086914,-8.541092872619629,8.541092872619629,-9.381989479064941,9.381989479064941
19,-19.152389526367188,19.152389526367188,-11.848542213439941,11.848542213439941,-5.819495677947998,5.819495677947998
20,-13.260419845581055,13.260419845581055,-7.9784746170043945,7.9784746170043945,-11.497529029846191,11.497529029846191
21,-19.420555114746094,19.420555114746094,-12.143868446350098,12.143868446350098,-14.700395584106445,14.700395584106445
22,-12.656378746032715,12.656378746032715,-11.484646797180176,11.484646797180176,-7.525189399719238,7.525189399719238
23,-14.39553165435791,14.39553165435791,-13.495868682861328,13.495868682861328,-5.409408092498779,5.409408092498779
24,-11.297889709472656,11.297889709472656,-10.677619934082031,10.677619934082031,-5.664513111114502,5.664513111114502
25,-16.516197204589844,16.516197204589844,-16.428199768066406,16.428199768066406,-6.03309440612793,6.03309440612793
26,-17.189403533935547,17.189403533935547,-17.826509475708008,17.826509475708008,-3.510603189468384,3.510603189468384
27,-17.520313262939453,17.520313262939453,-12.416131019592285,12.416131019592285,-9.913346290588379,9.913346290588379
28,-13.376877784729004,13.376877784729004,-16.785728454589844,16.785728454589844,-11.361383438110352,11.361383438110352
29,-17.124765396118164,17.124765396118164,-14.174901962280273,14.174901962280273,-6.371596336364746,6.371596336364746
30,-16.022016525268555,16.022016525268555,-9.508557319641113,9.508557319641113,-7.765921592712402,7.765921592712402
31,-13.216157913208008,13.216157913208008,-10.06325912475586,10.06325912475586,-8.274040222167969,8.274040222167969
32,-18.70414924621582,18.70414924621582,-14.01976490020752,14.01976490020752,-10.491620063781738,10.491620063781738
33,-16.15398406982422,16.15398406982422,-13.149446487426758,13.149446487426758,-8.077535629272461,8.077535629272461
