Seed,Feature Type,Label,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Weight Norm,Cosine Sim Input-Recons,Cosine Sim Input-Diff,Cosine Sim Recons-Diff
0,sae_input,target,3.395641565322876,0.7555000185966492,6.31212043762207,0.6500000357627869,2.7881386280059814,0.6469395160675049,0.37408965826034546,-0.01059725508093834
0,sae_recons,target,5.9810590744018555,0.6885000467300415,8.550178527832031,0.5940000414848328,2.5685417652130127,0.6469395160675049,0.37408965826034546,-0.01059725508093834
0,sae_diff,target,0.5338336825370789,0.878000020980835,2.412625789642334,0.6740000247955322,3.4056661128997803,0.6469395160675049,0.37408965826034546,-0.01059725508093834
1,sae_input,target,2.124321937561035,0.8100000619888306,4.475780487060547,0.7080000042915344,2.8497400283813477,0.6350273489952087,0.3757297098636627,-0.028327124193310738
1,sae_recons,target,2.241393566131592,0.7835000157356262,4.079862594604492,0.6840000152587891,2.6424217224121094,0.6350273489952087,0.3757297098636627,-0.028327124193310738
1,sae_diff,target,0.4507211744785309,0.8905000686645508,2.1061949729919434,0.6820000410079956,3.395484685897827,0.6350273489952087,0.3757297098636627,-0.028327124193310738
2,sae_input,target,2.698955774307251,0.8095000386238098,4.905750751495361,0.7120000123977661,2.9029276371002197,0.6351580619812012,0.37381821870803833,-0.01853283680975437
2,sae_recons,target,2.2734827995300293,0.7880000472068787,4.394796371459961,0.7000000476837158,2.6511051654815674,0.6351580619812012,0.37381821870803833,-0.01853283680975437
2,sae_diff,target,0.5528895854949951,0.8710000514984131,2.5086898803710938,0.64000004529953,3.3582847118377686,0.6351580619812012,0.37381821870803833,-0.01853283680975437
3,sae_input,target,1.6520930528640747,0.8500000238418579,3.739943504333496,0.7140000462532043,2.74835205078125,0.6244516372680664,0.401367723941803,-0.02088787779211998
3,sae_recons,target,2.160282611846924,0.7950000166893005,3.81205153465271,0.7020000219345093,2.4951746463775635,0.6244516372680664,0.401367723941803,-0.02088787779211998
3,sae_diff,target,0.4012332856655121,0.9160000681877136,2.2606561183929443,0.6600000262260437,3.331699848175049,0.6244516372680664,0.401367723941803,-0.02088787779211998
4,sae_input,target,1.9380508661270142,0.815500020980835,4.558704853057861,0.6700000166893005,2.7839295864105225,0.6553001403808594,0.37170207500457764,-0.020228026434779167
4,sae_recons,target,2.303819417953491,0.7870000600814819,4.936997413635254,0.6620000600814819,2.534708261489868,0.6553001403808594,0.37170207500457764,-0.020228026434779167
4,sae_diff,target,0.48097553849220276,0.8875000476837158,1.9551113843917847,0.7020000219345093,3.3432953357696533,0.6553001403808594,0.37170207500457764,-0.020228026434779167
5,sae_input,target,2.6521246433258057,0.8025000095367432,5.331746578216553,0.690000057220459,2.7902450561523438,0.6407263278961182,0.394415020942688,-0.0057674432173371315
5,sae_recons,target,2.614957332611084,0.7540000081062317,4.610098838806152,0.6540000438690186,2.547112226486206,0.6407263278961182,0.394415020942688,-0.0057674432173371315
5,sae_diff,target,0.4711494743824005,0.8885000348091125,2.3390097618103027,0.6500000357627869,3.3370273113250732,0.6407263278961182,0.394415020942688,-0.0057674432173371315
6,sae_input,target,2.3855230808258057,0.7950000166893005,5.216255187988281,0.7160000205039978,2.78433895111084,0.6252402663230896,0.3954383134841919,-0.01878637820482254
6,sae_recons,target,1.8632910251617432,0.7940000295639038,3.6214873790740967,0.7100000381469727,2.5019783973693848,0.6252402663230896,0.3954383134841919,-0.01878637820482254
6,sae_diff,target,0.5948302149772644,0.8715000152587891,2.7581417560577393,0.6380000114440918,3.328948736190796,0.6252402663230896,0.3954383134841919,-0.01878637820482254
7,sae_input,target,2.6980044841766357,0.780500054359436,5.287037372589111,0.6520000100135803,2.7659354209899902,0.6387780904769897,0.3922921121120453,-0.0008378718048334122
7,sae_recons,target,4.941646575927734,0.6820000410079956,6.820626735687256,0.656000018119812,2.6391310691833496,0.6387780904769897,0.3922921121120453,-0.0008378718048334122
7,sae_diff,target,0.4001363515853882,0.9005000591278076,2.246333122253418,0.6580000519752502,3.4112839698791504,0.6387780904769897,0.3922921121120453,-0.0008378718048334122
8,sae_input,target,2.492288112640381,0.8015000224113464,5.290208339691162,0.690000057220459,2.721935987472534,0.6378063559532166,0.3647427558898926,-0.01821145787835121
8,sae_recons,target,2.477022886276245,0.7885000109672546,4.547886371612549,0.7020000219345093,2.5234875679016113,0.6378063559532166,0.3647427558898926,-0.01821145787835121
8,sae_diff,target,0.4833581745624542,0.8985000252723694,2.2107317447662354,0.7080000042915344,3.3912947177886963,0.6378063559532166,0.3647427558898926,-0.01821145787835121
9,sae_input,target,2.991363048553467,0.8015000224113464,6.407731056213379,0.6840000152587891,2.898130416870117,0.6273871660232544,0.38697993755340576,-0.02107619121670723
9,sae_recons,target,1.9785360097885132,0.8125000596046448,4.540279388427734,0.6700000166893005,2.572370767593384,0.6273871660232544,0.38697993755340576,-0.02107619121670723
9,sae_diff,target,0.3443952202796936,0.9070000648498535,2.6941378116607666,0.6620000600814819,3.361994981765747,0.6273871660232544,0.38697993755340576,-0.02107619121670723
10,sae_input,target,2.2478418350219727,0.8250000476837158,4.415339946746826,0.7160000205039978,2.8277742862701416,0.6444343328475952,0.40245306491851807,0.005617368966341019
10,sae_recons,target,4.448580265045166,0.7580000162124634,6.688192844390869,0.6600000262260437,2.5822200775146484,0.6444343328475952,0.40245306491851807,0.005617368966341019
10,sae_diff,target,0.44246017932891846,0.8975000381469727,2.268397092819214,0.6540000438690186,3.3484458923339844,0.6444343328475952,0.40245306491851807,0.005617368966341019
11,sae_input,target,1.9075347185134888,0.8100000619888306,3.502415895462036,0.7020000219345093,2.700331211090088,0.6266061067581177,0.37777405977249146,-0.016606450080871582
11,sae_recons,target,2.167290687561035,0.7730000615119934,4.121339321136475,0.690000057220459,2.5824496746063232,0.6266061067581177,0.37777405977249146,-0.016606450080871582
11,sae_diff,target,0.42295730113983154,0.8835000395774841,2.258986711502075,0.6720000505447388,3.307544469833374,0.6266061067581177,0.37777405977249146,-0.016606450080871582
12,sae_input,target,3.969970464706421,0.7550000548362732,5.8841094970703125,0.6720000505447388,2.82204270362854,0.6270653009414673,0.39714545011520386,0.005774148739874363
12,sae_recons,target,5.4472808837890625,0.6780000329017639,7.486458778381348,0.6200000047683716,2.6338090896606445,0.6270653009414673,0.39714545011520386,0.005774148739874363
12,sae_diff,target,0.5164743661880493,0.874500036239624,2.332868814468384,0.6480000019073486,3.291579484939575,0.6270653009414673,0.39714545011520386,0.005774148739874363
13,sae_input,target,1.6826776266098022,0.8315000534057617,4.026183605194092,0.7020000219345093,2.79331111907959,0.628211259841919,0.36757951974868774,-0.043442949652671814
13,sae_recons,target,2.4520392417907715,0.7885000109672546,4.235973358154297,0.6980000138282776,2.7655115127563477,0.628211259841919,0.36757951974868774,-0.043442949652671814
13,sae_diff,target,0.4803721606731415,0.89000004529953,2.1222686767578125,0.656000018119812,3.345414400100708,0.628211259841919,0.36757951974868774,-0.043442949652671814
14,sae_input,target,2.2609074115753174,0.8115000128746033,4.830289363861084,0.6640000343322754,2.7351763248443604,0.6204701662063599,0.4164620637893677,0.04010166972875595
14,sae_recons,target,3.1048316955566406,0.7515000104904175,5.431275844573975,0.6640000343322754,2.519775152206421,0.6204701662063599,0.4164620637893677,0.04010166972875595
14,sae_diff,target,0.528075098991394,0.874500036239624,2.6832730770111084,0.6320000290870667,3.3785743713378906,0.6204701662063599,0.4164620637893677,0.04010166972875595
15,sae_input,target,3.67376971244812,0.7430000305175781,6.639068603515625,0.6320000290870667,2.7953851222991943,0.6333199739456177,0.39340806007385254,-0.02126549556851387
15,sae_recons,target,4.890145778656006,0.7000000476837158,7.948577404022217,0.5980000495910645,2.644702911376953,0.6333199739456177,0.39340806007385254,-0.02126549556851387
15,sae_diff,target,0.5355068445205688,0.878000020980835,2.215108633041382,0.7020000219345093,3.3961682319641113,0.6333199739456177,0.39340806007385254,-0.02126549556851387
16,sae_input,target,2.3092691898345947,0.8050000667572021,4.101877212524414,0.718000054359436,2.794402837753296,0.6103604435920715,0.3798460066318512,-0.051486000418663025
16,sae_recons,target,2.00360107421875,0.7660000324249268,3.9708800315856934,0.6440000534057617,2.5410804748535156,0.6103604435920715,0.3798460066318512,-0.051486000418663025
16,sae_diff,target,0.46361854672431946,0.8830000162124634,2.0953407287597656,0.6600000262260437,3.3157458305358887,0.6103604435920715,0.3798460066318512,-0.051486000418663025
17,sae_input,target,2.1563949584960938,0.8130000233650208,4.725697040557861,0.7040000557899475,2.8028547763824463,0.5923519730567932,0.4140620827674866,-0.02053939923644066
17,sae_recons,target,2.6237311363220215,0.7735000252723694,4.367076873779297,0.6720000505447388,2.4805846214294434,0.5923519730567932,0.4140620827674866,-0.02053939923644066
17,sae_diff,target,0.4502187669277191,0.878000020980835,2.744720458984375,0.6160000562667847,3.2883784770965576,0.5923519730567932,0.4140620827674866,-0.02053939923644066
18,sae_input,target,1.8490574359893799,0.8030000329017639,4.532224655151367,0.656000018119812,2.667227029800415,0.6181490421295166,0.3859473168849945,-0.023227833211421967
18,sae_recons,target,2.0245418548583984,0.7785000205039978,3.9904115200042725,0.6720000505447388,2.4345884323120117,0.6181490421295166,0.3859473168849945,-0.023227833211421967
18,sae_diff,target,0.592900276184082,0.858500063419342,2.636535167694092,0.656000018119812,3.3835842609405518,0.6181490421295166,0.3859473168849945,-0.023227833211421967
19,sae_input,target,3.2513673305511475,0.7910000085830688,6.666511058807373,0.6620000600814819,2.8327271938323975,0.6321936249732971,0.38102075457572937,-0.021703235805034637
19,sae_recons,target,4.958921909332275,0.7450000643730164,7.537463188171387,0.6620000600814819,2.5905210971832275,0.6321936249732971,0.38102075457572937,-0.021703235805034637
19,sae_diff,target,0.4956437051296234,0.8835000395774841,2.3280255794525146,0.6520000100135803,3.360191822052002,0.6321936249732971,0.38102075457572937,-0.021703235805034637
20,sae_input,target,3.1000478267669678,0.7865000367164612,6.665191173553467,0.656000018119812,2.847271203994751,0.6481701135635376,0.40674710273742676,0.006340698339045048
20,sae_recons,target,2.9794082641601562,0.749500036239624,5.306343078613281,0.6420000195503235,2.6620025634765625,0.6481701135635376,0.40674710273742676,0.006340698339045048
20,sae_diff,target,0.5151325464248657,0.8815000653266907,2.4924168586730957,0.6220000386238098,3.343230962753296,0.6481701135635376,0.40674710273742676,0.006340698339045048
21,sae_input,target,4.116700172424316,0.7350000143051147,6.602896213531494,0.6340000033378601,2.700856924057007,0.6147105097770691,0.379621297121048,-0.01735161803662777
21,sae_recons,target,1.980305552482605,0.7790000438690186,2.9189205169677734,0.6940000057220459,2.4485201835632324,0.6147105097770691,0.379621297121048,-0.01735161803662777
21,sae_diff,target,0.4506303369998932,0.8855000138282776,1.9548813104629517,0.7000000476837158,3.3641176223754883,0.6147105097770691,0.379621297121048,-0.01735161803662777
22,sae_input,target,7.483407974243164,0.703000009059906,10.204561233520508,0.6040000319480896,2.973175048828125,0.6784870624542236,0.3852216899394989,0.020076362416148186
22,sae_recons,target,8.6846923828125,0.6730000376701355,10.47522258758545,0.5980000495910645,2.783149003982544,0.6784870624542236,0.3852216899394989,0.020076362416148186
22,sae_diff,target,0.44754278659820557,0.89000004529953,2.5884616374969482,0.6660000085830688,3.4082295894622803,0.6784870624542236,0.3852216899394989,0.020076362416148186
23,sae_input,target,2.2506446838378906,0.8260000348091125,4.430264472961426,0.6960000395774841,2.784013271331787,0.6347367763519287,0.3901306986808777,-0.018733900040388107
23,sae_recons,target,2.101972818374634,0.7900000214576721,3.7787275314331055,0.6580000519752502,2.616819143295288,0.6347367763519287,0.3901306986808777,-0.018733900040388107
23,sae_diff,target,0.46036967635154724,0.8865000605583191,2.198289632797241,0.6600000262260437,3.2966902256011963,0.6347367763519287,0.3901306986808777,-0.018733900040388107
24,sae_input,target,1.9224320650100708,0.8350000381469727,4.731368541717529,0.7020000219345093,2.8488409519195557,0.6247168779373169,0.3664814233779907,-0.020632628351449966
