Sample_Index,Feature_Type,Scaling_Factor,Baseline_LogProb_Token1,Baseline_LogProb_Token2,Baseline_Logit_Diff,Steered_LogProb_Token1,Steered_LogProb_Token2,Steered_Logit_Diff,Delta_LogProb_Token1,Delta_LogProb_Token2,Delta_Logit_Diff
10,sae_input,-10.0,-0.76920485,-0.66309524,-0.10610962,-0.7643116,-0.6676758,-0.09663582,0.0048932433,-0.0045805573,0.009473801
11,sae_input,-10.0,-0.73705035,-0.6934293,-0.043621063,-0.7316217,-0.69882864,-0.032793045,0.005428672,-0.0053993464,0.010828018
12,sae_input,-10.0,-1.9355003,-0.18819721,-1.747303,-1.9227649,-0.19083318,-1.7319317,0.012735367,-0.0026359707,0.015371323
13,sae_input,-10.0,-0.7711107,-0.6637785,-0.10733223,-0.76842713,-0.66650987,-0.10191727,0.00268358,-0.0027313828,0.005414963
14,sae_input,-10.0,-0.73460865,-0.69889736,-0.03571129,-0.7305457,-0.70309514,-0.027450562,0.0040629506,-0.0041977763,0.008260727
15,sae_input,-10.0,-2.2698362,-0.14093187,-2.1289043,-2.2519794,-0.14346826,-2.108511,0.017856836,-0.0025363863,0.020393372
0,sae_input,-5.0,-1.5672863,-0.27245402,-1.2948322,-1.5614929,-0.2742424,-1.2872505,0.005793333,-0.0017883778,0.007581711
1,sae_input,-5.0,-0.8046344,-0.6347926,-0.16984177,-0.80278105,-0.63653654,-0.1662445,0.0018533468,-0.0017439127,0.0035972595
2,sae_input,-5.0,-0.6301875,-0.8032508,0.17306328,-0.6278256,-0.80622375,0.17839813,0.0023618937,-0.0029729605,0.005334854
3,sae_input,-5.0,-0.7002847,-0.72708297,0.026798248,-0.6980848,-0.72950643,0.03142166,0.0021999478,-0.0024234653,0.004623413
4,sae_input,-5.0,-0.7782896,-0.65340406,-0.12488556,-0.77528983,-0.65615684,-0.119132996,0.0029997826,-0.002752781,0.0057525635
5,sae_input,-5.0,-2.2947917,-0.13742965,-2.157362,-2.2871222,-0.13853218,-2.14859,0.007669449,-0.001102522,0.008771896
6,sae_input,-5.0,-2.674511,-0.099594064,-2.5749168,-2.6654873,-0.10049815,-2.564989,0.009023666,-0.00090408325,0.00992775
7,sae_input,-5.0,-0.88043433,-0.5750697,-0.3053646,-0.8792446,-0.5761612,-0.30308342,0.0011897087,-0.0010914803,0.002281189
8,sae_input,-5.0,-0.48760802,-0.99776846,0.51016045,-0.4856634,-1.0011625,0.5154991,0.0019446015,-0.0033940673,0.005338669
9,sae_input,-5.0,-0.82223046,-0.6200458,-0.20218468,-0.8198211,-0.6221931,-0.19762802,0.002409339,-0.002147317,0.004556656
10,sae_input,-5.0,-0.76920485,-0.66309524,-0.10610962,-0.76667064,-0.6654591,-0.10121155,0.0025342107,-0.0023638606,0.0048980713
11,sae_input,-5.0,-0.73705035,-0.6934293,-0.043621063,-0.73425925,-0.6961962,-0.03806305,0.0027911067,-0.0027669072,0.005558014
12,sae_input,-5.0,-1.9355003,-0.18819721,-1.747303,-1.9289678,-0.18954022,-1.7394276,0.0065324306,-0.0013430119,0.0078754425
13,sae_input,-5.0,-0.7711107,-0.6637785,-0.10733223,-0.76969516,-0.6652106,-0.10448456,0.0014155507,-0.0014321208,0.0028476715
14,sae_input,-5.0,-0.73460865,-0.69889736,-0.03571129,-0.73251176,-0.70105577,-0.031455994,0.0020968914,-0.0021584034,0.004255295
15,sae_input,-5.0,-2.2698362,-0.14093187,-2.1289043,-2.2607172,-0.14221731,-2.1184998,0.009119034,-0.0012854338,0.010404587
0,sae_input,5.0,-1.5672863,-0.27245402,-1.2948322,-1.5733445,-0.2706044,-1.3027401,-0.006058216,0.0018496215,-0.007907867
1,sae_input,5.0,-0.8046344,-0.6347926,-0.16984177,-0.80663747,-0.6329257,-0.17371178,-0.0020030737,0.0018669367,-0.0038700104
2,sae_input,5.0,-0.6301875,-0.8032508,0.17306328,-0.63258916,-0.8002375,0.16764832,-0.00240165,0.0030133128,-0.005414963
3,sae_input,5.0,-0.7002847,-0.72708297,0.026798248,-0.70258456,-0.72456867,0.0219841,-0.0022998452,0.0025143027,-0.004814148
4,sae_input,5.0,-0.7782896,-0.65340406,-0.12488556,-0.7814524,-0.6505225,-0.13092995,-0.0031628013,0.0028815866,-0.006044388
5,sae_input,5.0,-2.2947917,-0.13742965,-2.157362,-2.3028014,-0.13629563,-2.1665058,-0.008009672,0.0011340231,-0.009143829
6,sae_input,5.0,-2.674511,-0.099594064,-2.5749168,-2.6838987,-0.09867458,-2.5852242,-0.009387732,0.0009194836,-0.010307312
7,sae_input,5.0,-0.88043433,-0.5750697,-0.3053646,-0.88177925,-0.5738607,-0.30791855,-0.0013449192,0.0012090206,-0.0025539398
8,sae_input,5.0,-0.48760802,-0.99776846,0.51016045,-0.48960084,-0.99430627,0.5047054,-0.0019928217,0.0034621954,-0.005455017
9,sae_input,5.0,-0.82223046,-0.6200458,-0.20218468,-0.82481515,-0.6177629,-0.20705223,-0.0025846958,0.002282858,-0.0048675537
10,sae_input,5.0,-0.76920485,-0.66309524,-0.10610962,-0.7718754,-0.66062164,-0.11125374,-0.0026705265,0.0024735928,-0.0051441193
11,sae_input,5.0,-0.73705035,-0.6934293,-0.043621063,-0.73997164,-0.6905503,-0.04942131,-0.0029212832,0.002878964,-0.005800247
12,sae_input,5.0,-1.9355003,-0.18819721,-1.747303,-1.9423608,-0.18680464,-1.7555561,-0.0068604946,0.0013925731,-0.0082530975
13,sae_input,5.0,-0.7711107,-0.6637785,-0.10733223,-0.77269506,-0.66219664,-0.11049843,-0.0015843511,0.0015818477,-0.0031661987
14,sae_input,5.0,-0.73460865,-0.69889736,-0.03571129,-0.73687226,-0.69658524,-0.040287018,-0.0022636056,0.0023121238,-0.0045757294
15,sae_input,5.0,-2.2698362,-0.14093187,-2.1289043,-2.2793536,-0.13960974,-2.1397438,-0.009517431,0.0013221353,-0.010839462
0,sae_input,10.0,-1.5672863,-0.27245402,-1.2948322,-1.5796784,-0.26869288,-1.3109856,-0.012392163,0.0037611425,-0.016153336
1,sae_input,10.0,-0.8046344,-0.6347926,-0.16984177,-0.80878097,-0.6309436,-0.17783737,-0.004146576,0.0038490295,-0.0079956055
2,sae_input,10.0,-0.6301875,-0.8032508,0.17306328,-0.63503045,-0.7971875,0.16215706,-0.004842937,0.0060632825,-0.0109062195
3,sae_input,10.0,-0.7002847,-0.72708297,0.026798248,-0.70499456,-0.7219509,0.01695633,-0.00470984,0.005132079,-0.009841919
